Collection ID,Fish ID,Freshwater Age,Ocean Age,Sex,Length,Weight,Scale Card Number,Scale Card Position,ASL Number
52515,1,,,F,,,,,
52515,2,,,F,,,,,
52515,3,,,F,,,,,
52515,4,,,F,,,,,
52515,5,,,F,,,,,
52515,6,,,F,,,,,
52515,7,,,F,,,,,
52515,8,,,F,,,,,
52515,9,,,F,,,,,
52515,10,,,F,,,,,
52515,11,,,F,,,,,
52515,12,,,F,,,,,
52515,13,,,F,,,,,
52515,14,,,F,,,,,
52515,15,,,F,,,,,
52515,16,,,F,,,,,
52515,17,,,F,,,,,
52515,18,,,F,,,,,
52515,19,,,F,,,,,
52515,20,,,F,,,,,
52515,21,,,F,,,,,
52515,22,,,F,,,,,
52515,23,,,F,,,,,
52515,24,,,F,,,,,
52515,25,,,F,,,,,
52515,26,,,F,,,,,
52515,27,,,F,,,,,
52515,28,,,F,,,,,
52515,29,,,F,,,,,
52515,30,,,F,,,,,
52515,31,,,F,,,,,
52515,32,,,F,,,,,
52515,33,,,F,,,,,
52515,34,,,F,,,,,
52515,35,,,F,,,,,
52515,36,,,F,,,,,
52515,37,,,M,,,,,
52515,38,,,M,,,,,
52515,39,,,M,,,,,
52515,40,,,M,,,,,
52515,41,,,M,,,,,
52515,42,,,M,,,,,
52515,43,,,M,,,,,
52515,44,,,M,,,,,
52515,45,,,M,,,,,
52515,46,,,M,,,,,
52515,47,,,M,,,,,
52515,48,,,M,,,,,
52515,49,,,M,,,,,
52515,50,,,M,,,,,
52515,51,,,M,,,,,
52515,52,,,M,,,,,
52515,53,,,M,,,,,
52515,54,,,M,,,,,
52515,55,,,M,,,,,
52515,56,,,M,,,,,
52515,57,,,M,,,,,
52515,58,,,M,,,,,
52515,59,,,M,,,,,
52515,60,,,M,,,,,
52515,61,,,M,,,,,
52515,62,,,M,,,,,
52515,63,,,M,,,,,
52515,64,,,M,,,,,
52515,65,,,M,,,,,
52515,66,,,M,,,,,
52515,67,,,M,,,,,
52515,68,,,M,,,,,
52515,69,,,M,,,,,
52515,70,,,M,,,,,
52515,71,,,M,,,,,
52515,72,,,M,,,,,
52515,73,,,M,,,,,
52515,74,,,M,,,,,
52515,75,,,M,,,,,
52515,76,,,M,,,,,
52515,77,,,M,,,,,
52515,78,,,M,,,,,
52515,79,,,M,,,,,
52515,80,,,M,,,,,
52515,81,,,M,,,,,
52515,82,,,M,,,,,
52515,83,,,M,,,,,
52515,84,,,M,,,,,
52515,85,,,M,,,,,
52515,86,,,M,,,,,
52515,87,,,M,,,,,
52515,88,,,M,,,,,
52515,89,,,M,,,,,
52515,90,,,M,,,,,
52515,91,,,M,,,,,
52515,92,,,M,,,,,
52515,93,,,M,,,,,
52515,94,,,M,,,,,
52515,95,,,M,,,,,
52515,96,,,M,,,,,
52515,97,,,M,,,,,
52515,98,,,M,,,,,
52515,99,,,M,,,,,
52515,100,,,M,,,,,
52515,101,,,M,,,,,
52515,102,,,M,,,,,
52515,103,,,M,,,,,
52515,104,,,M,,,,,
52515,105,,,M,,,,,
52515,106,,,M,,,,,
52515,107,,,M,,,,,
52515,108,,,M,,,,,
52515,109,,,M,,,,,
52515,110,,,M,,,,,
52515,111,,,M,,,,,
52515,112,,,M,,,,,
52515,113,,,M,,,,,
52515,114,,,M,,,,,
52515,115,,,M,,,,,
52515,116,,,M,,,,,
52515,117,,,M,,,,,
52515,118,,,M,,,,,
52515,119,,,M,,,,,
52515,120,,,M,,,,,
52515,121,,,M,,,,,
52515,122,,,M,,,,,
52515,123,,,M,,,,,
52515,124,,,M,,,,,
52515,125,,,M,,,,,
52515,126,,,M,,,,,
52515,127,,,M,,,,,
52515,128,,,M,,,,,
52515,129,,,M,,,,,
52515,130,,,M,,,,,
52515,131,,,M,,,,,
52515,132,,,M,,,,,
52515,133,,,M,,,,,
52515,134,,,M,,,,,
52515,135,,,M,,,,,
52515,136,,,M,,,,,
52515,137,,,M,,,,,
52515,138,,,M,,,,,
52515,139,,,M,,,,,
52515,140,,,M,,,,,
52515,141,,,M,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
