Region,ADFGStreamCode,StreamName,SurveyDate,SurveyType,ProcessingAreaNum,Latitude,Longitude,SampleTrayId,SampleCell,Species,Sex,Length,MissingOtoliths,MissingDNA,AlternateTissueSample,LastSpecimenForProcArea,SpawningState,ScaleCardNumber,ScaleCardRow,PreSpawn,PartialSpawner,PreyedUpon,TagNumber,TagStatus,LengthTypeCode,OpercularPunchCode,Hatchery,Age,MarkId,MarkPresent,MarkStatus,MarkStatusDescription,Comments,DeviceId,LastModifiedBy,LastModifiedDate,QABy,QADate,TransDate,MissingAdfgData,NoHWAnalysis,NoLengthAnalysis,NoSexAnalysis,NoAgeAnalysis,AdfgDataUpdated
PWS,222-20-12640,Siwash R,7/25/2015,1,1,60.95725373,-147.6876476,1989,1,440,F,470,0,FALSE,FALSE,FALSE,Alive,,,,FALSE,FALSE,,,4,,,,,N,1L0n,OK,,Tab22015QBDX,Sarah Hoepfner,7/25/2015,Sarah Hoepfner,7/25/2015,7/25/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PWS,222-20-12640,Siwash R,7/25/2015,1,1,60.95725373,-147.6876476,1989,10,440,M,412,0,FALSE,FALSE,FALSE,Alive,,,,FALSE,FALSE,,,4,,,,,N,1L0n,OK,,Tab22015QBDX,StreamTeam2\Stream Team 2,7/25/2015,Sarah Hoepfner,7/25/2015,7/25/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PWS,222-20-12640,Siwash R,7/25/2015,1,1,60.95725373,-147.6876476,1989,11,440,F,437,0,FALSE,FALSE,FALSE,Alive,,,,FALSE,FALSE,,,4,,,,,N,1L0n,OK,,Tab22015QBDX,StreamTeam2\Stream Team 2,7/25/2015,Sarah Hoepfner,7/25/2015,7/25/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PWS,222-20-12640,Siwash R,7/25/2015,1,1,60.95725373,-147.6876476,1989,12,440,M,460,0,FALSE,FALSE,FALSE,Alive,,,,FALSE,FALSE,,,4,,,,,N,1L0n,OK,,Tab22015QBDX,StreamTeam2\Stream Team 2,7/25/2015,Sarah Hoepfner,7/25/2015,7/25/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PWS,222-20-12640,Siwash R,7/25/2015,1,1,60.95725373,-147.6876476,1989,13,440,F,456,0,FALSE,FALSE,FALSE,Alive,,,,FALSE,FALSE,,,4,,,,,N,1L0n,OK,,Tab22015QBDX,StreamTeam2\Stream Team 2,7/25/2015,Sarah Hoepfner,7/25/2015,7/25/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PWS,222-20-12640,Siwash R,7/25/2015,1,1,60.95725373,-147.6876476,1989,14,440,M,456,0,FALSE,FALSE,FALSE,Alive,,,,FALSE,FALSE,,,4,,,,,N,1L0n,OK,,Tab22015QBDX,StreamTeam2\Stream Team 2,7/25/2015,Sarah Hoepfner,7/25/2015,7/25/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PWS,222-20-12640,Siwash R,7/25/2015,1,1,60.95725373,-147.6876476,1989,15,440,F,411,0,FALSE,FALSE,FALSE,Alive,,,,FALSE,FALSE,,,4,,,,,N,1L0n,OK,,Tab22015QBDX,StreamTeam2\Stream Team 2,7/25/2015,Sarah Hoepfner,7/25/2015,7/25/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PWS,222-20-12640,Siwash R,7/25/2015,1,1,60.95725373,-147.6876476,1989,16,440,M,407,0,FALSE,FALSE,FALSE,Alive,,,,FALSE,FALSE,,,4,,,,,N,1L0n,OK,,Tab22015QBDX,StreamTeam2\Stream Team 2,7/25/2015,Sarah Hoepfner,7/25/2015,7/25/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PWS,222-20-12640,Siwash R,7/25/2015,1,1,60.95725373,-147.6876476,1989,17,440,M,451,0,FALSE,FALSE,FALSE,Alive,,,,FALSE,FALSE,,,4,,,,,N,1L0n,OK,,Tab22015QBDX,StreamTeam2\Stream Team 2,7/25/2015,Sarah Hoepfner,7/25/2015,7/25/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PWS,222-20-12640,Siwash R,7/25/2015,1,1,60.95725373,-147.6876476,1989,18,440,M,419,0,FALSE,FALSE,FALSE,Alive,,,,FALSE,FALSE,,,4,,SOLOMON GULCH,,SGH13,Y,1L0n,OK,,Tab22015QBDX,StreamTeam2\Stream Team 2,7/25/2015,Sarah Hoepfner,7/25/2015,7/25/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
