Well Position,Sample Name
A1,PSPRIN15_9911
B1,PSPRIN15_9915
C1,PSPRIN15_9935
D1,PSPRIN15_9944
E1,PSPRIN15_9955
F1,PSPRIN15_9960
G1,PAFK94H_65
H1,PAFK94H_66
A2,PAFK94H_67
B2,PAFK94H_68
C2,PAFK94H_69
D2,PAFK94H_70
E2,PAFK94H_71
F2,PAFK94H_72
G2,PAFK94H_73
H2,PAFK94H_74
A3,PAFK94H_75
B3,PAFK94H_76
C3,PAFK94H_77
D3,PAFK94H_78
E3,PAFK94H_79
F3,PAFK94H_80
G3,PAFK94H_81
H3,PAFK94H_82
A4,PAFK94H_83
B4,PAFK94H_84
C4,PAFK94H_85
D4,PAFK94H_86
E4,PAFK94H_87
F4,PAFK94H_88
G4,PAFK94H_89
H4,PAFK94H_90
A5,PAFK94H_91
B5,PAFK94H_92
C5,PAFK94H_93
D5,PAFK94H_94
E5,PAFK94H_95
F5,PAFK94H_96
G5,PAFK94H_97
H5,PAFK94H_98
A6,PAFK94H_99
B6,PAFK94H_100
C6,PAFK14_50
D6,PAFK14_51
E6,PAFK14_52
F6,PAFK14_53
G6,PAFK14_54
H6,PAFK14_55
A7,PAFK14_56
B7,PAFK14_57
C7,PAFK14_58
D7,PAFK14_59
E7,PAFK14_60
F7,PAFK14_61
G7,PAFK14_62
H7,PAFK14_63
A8,PAFK14_64
B8,PAFK14_65
C8,PAFK14_66
D8,PAFK14_67
E8,PAFK14_75
F8,PAFK14_76
G8,PAFK14_77
H8,PAFK14_78
A9,PAFK14_79
B9,PAFK14_80
C9,PAFK14_81
D9,PAFK14_82
E9,PAFK14_83
F9,PAFK14_84
G9,PAFK14_85
H9,PAFK14_86
A10,PAFK14_87
B10,PAFK14_88
C10,PAFK14_89
D10,PAFK14_90
E10,PAFK14_91
F10,PAFK14_92
G10,PAFK91H_1
H10,PAFK91H_2
A11,PAFK91H_3
B11,PAFK91H_4
C11,PAFK91H_5
D11,PAFK91H_6
E11,PAFK91H_7
F11,PAFK91H_8
G11,PAFK91H_9
H11,PAFK91H_10
A12,PAFK91H_11
B12,PAFK91H_12
C12,PAFK91H_13
D12,PAFK91H_14
E12,PAFK91H_15
F12,PAFK91H_16
G12,PAFK91H_17
H12,NTC
