Well Position,Sample Name
A1,PHOGAN15_4305
B1,PHOGAN15_4380
C1,PHOGAN15_4592
D1,PHOGAN15_4874
E1,PHOGAN15_4924
F1,PHOGAN15_5214
G1,PHOGAN15_5704
H1,PHOGAN15_5877
A2,PHOGAN15_6008
B2,PHOGAN15_6167
C2,PHOGAN15_6248
D2,PHOGAN15_6288
E2,PHOGAN15_6377
F2,PHOGAN15_6637
G2,PHOGAN15_6825
H2,PHOGAN15_6867
A3,PHOGAN15_6885
B3,PHOGAN15_7024
C3,PHOGAN15_7115
D3,PHOGAN15_7294
E3,PHOGAN15_7470
F3,PHOGAN15_7485
G3,PHOGAN15_8043
H3,PHOGAN15_8447
A4,PHOGAN15_8554
B4,PHOGAN15_8687
C4,PHOGAN15_8725
D4,PHOGAN15_8901
E4,PHOGAN15_9302
F4,PSPRIN14_51
G4,PSPRIN14_54
H4,PSPRIN14_55
A5,PSPRIN14_99
B5,PSPRIN14_101
C5,PSPRIN14_103
D5,PSPRIN14_130
E5,PSPRIN14_138
F5,PSPRIN14_139
G5,PSPRIN14_140
H5,PSPRIN14_141
A6,PSPRIN14_142
B6,PSPRIN14_145
C6,PSPRIN14_147
D6,PSPRIN14_150
E6,PSPRIN14_151
F6,PSPRIN14_154
G6,PSPRIN14_157
H6,PSPRIN14_171
A7,PSPRIN14_172
B7,NTC
C7,PSPRIN14_176
D7,PSPRIN14_180
E7,PSPRIN14_189
F7,PSPRIN14_196
G7,PSPRIN14_201
H7,PSPRIN14_212
A8,PSPRIN14_223
B8,PSPRIN14_224
C8,PSPRIN14_225
D8,PSPRIN14_231
E8,PSPRIN14_236
F8,PSPRIN14_237
G8,PSPRIN14_238
H8,PSPRIN14_241
A9,PSPRIN14_242
B9,PSPRIN15_2433
C9,PSPRIN15_2440
D9,PSPRIN15_2452
E9,PSPRIN15_2458
F9,PSPRIN15_2484
G9,PSPRIN15_2487
H9,PSPRIN15_2492
A10,PSPRIN15_2504
B10,PSPRIN15_2509
C10,PSPRIN15_4878
D10,PSPRIN15_4916
E10,PSPRIN15_4917
F10,PSPRIN15_4939
G10,PSPRIN15_4951
H10,PSPRIN15_4961
A11,PSPRIN15_4966
B11,PSPRIN15_7383
C11,PSPRIN15_7387
D11,PSPRIN15_7394
E11,PSPRIN15_7416
F11,PSPRIN15_7444
G11,PSPRIN15_7454
H11,PSPRIN15_7455
A12,PSPRIN15_7458
B12,PSPRIN15_7459
C12,PSPRIN15_7462
D12,PSPRIN15_9903
E12,PSPRIN15_9905
F12,PSPRIN15_9907
G12,PSPRIN15_9909
H12,NTC
