Silly Code,Collection ID,Fish ID,Freshwater Age,Ocean Age,Sex,Length,Weight,Scale Card Number,Scale Card Position,ASL Number
PAFK13,50966,1,0,0,M,,,,,
PAFK13,50966,2,0,0,M,,,,,
PAFK13,50966,3,0,0,M,,,,,
PAFK13,50966,4,0,0,M,,,,,
PAFK13,50966,5,0,0,M,,,,,
PAFK13,50966,6,0,0,M,,,,,
PAFK13,50966,7,0,0,M,,,,,
PAFK13,50966,8,0,0,M,,,,,
PAFK13,50966,9,0,0,M,,,,,
PAFK13,50966,10,0,0,M,,,,,
PAFK13,50966,11,0,0,M,,,,,
PAFK13,50966,12,0,0,M,,,,,
PAFK13,50966,13,0,0,M,,,,,
PAFK13,50966,14,0,0,M,,,,,
PAFK13,50966,15,0,0,M,,,,,
PAFK13,50966,16,0,0,M,,,,,
PAFK13,50966,17,0,0,M,,,,,
PAFK13,50966,18,0,0,M,,,,,
PAFK13,50966,19,0,0,M,,,,,
PAFK13,50966,20,0,0,M,,,,,
PAFK13,50966,21,0,0,M,,,,,
PAFK13,50966,22,0,0,M,,,,,
PAFK13,50966,23,0,0,M,,,,,
PAFK13,50966,24,0,0,M,,,,,
PAFK13,50966,25,0,0,M,,,,,
PAFK13,50966,26,0,0,F,,,,,
PAFK13,50966,27,0,0,F,,,,,
PAFK13,50966,28,0,0,F,,,,,
PAFK13,50966,29,0,0,F,,,,,
PAFK13,50966,30,0,0,F,,,,,
PAFK13,50966,31,0,0,F,,,,,
PAFK13,50966,32,0,0,F,,,,,
PAFK13,50966,33,0,0,F,,,,,
PAFK13,50966,34,0,0,F,,,,,
PAFK13,50966,35,0,0,F,,,,,
PAFK13,50966,36,0,0,F,,,,,
PAFK13,50966,37,0,0,F,,,,,
PAFK13,50966,38,0,0,F,,,,,
PAFK13,50966,39,0,0,F,,,,,
PAFK13,50966,40,0,0,F,,,,,
PAFK13,50966,41,0,0,F,,,,,
PAFK13,50966,42,0,0,F,,,,,
PAFK13,50966,43,0,0,F,,,,,
PAFK13,50966,44,0,0,F,,,0,0,
PAFK13,50966,45,0,0,F,,,0,0,
PAFK13,50966,46,0,0,F,,,0,0,
PAFK13,50966,47,0,0,F,,,,,
PAFK13,50966,48,0,0,F,,,,,
PAFK13,50966,49,0,0,F,,,,,
PAFK13,50966,50,0,0,F,,,,,
PAFK13,50966,51,0,0,M,,,,,
PAFK13,50966,52,0,0,M,,,,,
PAFK13,50966,53,0,0,M,,,,,
PAFK13,50966,54,0,0,M,,,,,
PAFK13,50966,55,0,0,M,,,,,
PAFK13,50966,56,0,0,M,,,,,
PAFK13,50966,57,0,0,M,,,,,
PAFK13,50966,58,0,0,M,,,,,
PAFK13,50966,59,0,0,M,,,,,
PAFK13,50966,60,0,0,M,,,,,
PAFK13,50966,61,0,0,M,,,,,
PAFK13,50966,62,0,0,M,,,,,
PAFK13,50966,63,0,0,M,,,,,
